"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"1108","Panther Robotics","34.5","0.7","3.5","4.9","18.5","5.6","29.6","1.5","1.5","6.8","4.1","15.2","0.2","2.9","2.5","0.5","2.4","0.5","2.4"
"6000","Firehawk Robotics","34.5","1","4.4","3.7","9","4.7","18.9","1.1","2.7","6.3","2","7.1","2.3","2.2","0.3","3.5","0.4","3.7","0.8"
"7072","O.G.R.E. (Opelika's Greates...","34.5","1","4.2","4","13.1","5","22","0.9","4","12","1","5.3","2.3","0.8","1.8","0.8","1.2","0.9","0.9"
"7178","Yeti","34.5","1","5.7","4.2","16.2","5.3","27.4","1.1","3","11.8","2.2","10.2","1.5","0.4","3.4","0.9","3.6","1","3.8"
"6744","Mehville Pi","34.5","0.7","2.3","4.9","10.7","5.6","22.2","1.9","4.9","11.1","0.7","1.9","5.2","0.1","0.3","2","2.1","2","2.1"
"193","MORT Beta","34.5","1.3","6.3","3.2","10","4.5","21.9","1.1","1.5","6.8","3","9.4","0.8","2.7","1","0.4","0.8","0.6","0.6"
"3082","Chicken Bot Pie","34.5","0.6","2.8","3","12.5","3.6","18.1","0.6","0.8","4.2","2.8","11.2","0.8","0.3","2.4","0","0.9","0.1","0.6"
"5883","Spice Gears","34.4","0.3","2.3","3.5","10.1","3.8","16.3","0.8","3.4","9.7","0.4","2.7","2.1","0.3","1.4","1.3","0.1","1.5","0.1"
"6956","SHAM-ROCK-BOTICS ☘","34.4","1","5.3","4.5","15.4","5.5","28.3","1.5","2.2","9.1","3.2","11.7","0.6","2.8","2.1","0.7","1","0.7","1.2"
"9015","Questionable Engineering","34.4","1","5.2","3.6","12.2","4.6","22.9","1.1","2.4","8","2.2","9.5","1.3","1.3","2","0","0.3","0","0.2"
"2928","Viking Robotics","34.4","0.9","5.5","3.7","12.1","4.7","23.9","1.3","2.8","9.7","1.8","7.8","1.9","0.6","2.2","0","0.4","0.3","0.6"
"5528","Ultime","34.4","1.2","6.6","1.7","9.6","2.9","19.7","0.7","0.7","4.9","2.2","11.3","-0.4","0.3","3","0.3","0.9","0.6","0.2"
"6121","RoboVikes","34.4","1.6","7.9","3","11.5","4.6","27.1","1.5","1.8","7.3","2.7","12.1","1.2","0.7","2.7","0.8","1.4","1","1.6"
